url,headline,body,author,time,date,source
https://inshorts.com/en/news/it-returns-to-be-processed-in-one-day-from-current-63-days-1547694007239,IT returns to be processed in one day from current 63 days,"Infosys will develop the next-generation income tax filing system, which will reduce the processing time for returns to one day from the current average of 63 days, the government said. The project, costing over ₹4,200 crore, will be completed in 18 months. Its objectives include faster and accurate outcomes for taxpayers and enhancing user experience at all stages, among others.",Krishna Veera Vanamali,08:30 am,17-Jan-2019,[]
https://inshorts.com/en/news/pm-modi-inaugurates-1st-indian-cinema-museum-in-mumbai-1547920304836,PM Modi inaugurates 1st Indian cinema museum in Mumbai,"Prime Minister Narendra Modi inaugurated India\'s first National Museum of Indian Cinema (NMIC) in Mumbai on Saturday. Speaking at the event, PM Modi said, ""Films help integrate our people...boost tourism in a big way and help generate employment opportunities."" The ceremony was attended by several Bollywood actors and filmmakers, including Aamir Khan and Karan Johar.",Rahel Philipose,11:21 pm,19-Jan-2019,Hindustan Times
https://inshorts.com/en/news/were-1st-indian-govt-to-face-no-corruption-charges-pm-modi-1547292104583,We're 1st Indian govt to face no corruption charges: PM Modi,"PM Narendra Modi on Saturday claimed that the current BJP-led central government is the first government in India\'s history to have no corruption charges against it. ""BJP has shown that only it can take India to its peak,"" he added. Taking a dig at Congress, PM Modi further said, ""Between 2004-2014, India lost 10 important years in scams and corruption."" ",Shweta Singh,04:51 pm,12-Jan-2019,ANI
https://inshorts.com/en/news/who-are-the-nominees-for-best-actress-at-oscars-2019-1548179945551,Who are the nominees for Best Actress at Oscars 2019?,"Lady Gaga earned her first nomination in the Best Actress category for A Star Is Born at Oscars 2019. Roma's Yalitza Aparicio was also nominated, making her the fourth Latina actress to be shortlisted in this category. Seven-time Academy Award nominee Glenn Close has earned her fourth nomination in this category for her performance in The Wife.",Rahel Philipose,11:29 pm,22-Jan-2019,Oscars
https://inshorts.com/en/news/unrealistic-to-compare-lifespan-of-actors-actresses-preity-1542698794117,"Unrealistic to compare lifespan of actors, actresses: Preity","Preity Zinta has said that it\'s unrealistic to compare actors and actresses as their lifespan is different, adding, ""Lot of actresses get married, have children, take a break."" ""It\'s a patriarchal society but the real test of time will be with newer bunch of actors who is getting married and still working, to see how things go,"" she further said.",Deepshikha Yadav,12:56 pm,20-Nov-2018,Hindustan Times
https://inshorts.com/en/news/cyber-thieves-loot-₹1-lakh-from-mumbai-policemans-account-1542111430295,Cyber thieves loot ₹1 lakh from Mumbai policeman's account,"Cyber thieves have looted nearly ₹1,00,000 from a Mumbai police constable's bank account. The constable informed that he received a series of messages on his phone about the deductions and until he reached the nearest bank branch, ₹1 lakh had already been withdrawn. The bank officers suggested him to withdraw the remaining money via cheque.",Shashank Verma,05:47 pm,13-Nov-2018,Times Now
https://inshorts.com/en/news/mumbai-police-troll-hardik-pandya-kl-rahul-with-gentleman-tweet-1547483871823,"Mumbai Police troll Hardik Pandya, KL Rahul with 'gentleman' tweet","Taking a dig at cricketers Hardik Pandya and KL Rahul, who have been suspended pending inquiry for their remarks on women on Koffee with Karan, Mumbai Police tweeted, ""A \'Gentleman\' is a Gentleman, always and everywhere."" It also shared a graphic which read, ""How to be a great player? On field: Maximum Score, Off field: Maximum respect for women.""",Anmol Sharma,10:07 pm,14-Jan-2019,Twitter
https://inshorts.com/en/news/earths-magnetic-field-measured-using-artificial-stars-1542429004585,Earth's magnetic field measured using artificial stars,"A team of international scientists has measured the Earth's magnetic field using laser-generated artificial stars at an altitude of 90 kilometres. They were used to determine the Earth's magnetic field in the sodium layer of the atmosphere. The beam, directed into the atmosphere, strikes sodium atoms which absorb the energy of the laser and start to glow, the team said.",Mahi Chauhan,10:00 am,17-Nov-2018,Phys
https://inshorts.com/en/news/prateik-babbar-gets-married-to-girlfriend-sanya-sagar-1st-pics-out-1548314765543,"Prateik Babbar gets married to girlfriend Sanya Sagar, 1st pics out","Actor Prateik Babbar got married to his girlfriend Sanya Sagar, who is the daughter of BSP leader Pawan Sagar, earlier today in a traditional Maharashtrian ceremony. The wedding took place in Sanya's hometown Lucknow and it will be followed by a reception in Mumbai. The couple has reportedly known each other for a decade and has been dating since 2017.",Daisy Mowke,12:56 pm,24-Jan-2019,Times Now
https://inshorts.com/en/news/bird-found-in-business-class-during-14hour-singaporelondon-flight-1547545439675,Bird found in business class during 14-hour Singapore-London flight,"A mynah bird was discovered 12 hours into a 14-hour flight between Singapore and London. The bird appeared in the business class section of the Singapore Airlines flight last Monday. In a video that surfaced online , the bird can be seen sitting on top of a headrest before a flight attendant makes a failed attempted to grab it.",Ankush Verma,03:13 pm,15-Jan-2019,The Independent
https://inshorts.com/en/news/cars-catch-fire-after-collision-on-delhi-flyover-3-burnt-to-death-1548312414776,Cars catch fire after collision on Delhi flyover; 3 burnt to death,"Three persons were burnt to death and two injured after a van and an SUV caught fire following their collision on a flyover in Delhi on Wednesday. The SUV, which was coming from the opposite direction, collided with the van after jumping the divider, the police said. Two occupants of the van and an occupant from the SUV were killed.",Arshiya Chopra,12:16 pm,24-Jan-2019,Times Now
https://inshorts.com/en/news/menstruating-girls-allegedly-kept-in-govt-building-in-uttarakhand-1547703350583,Menstruating girls allegedly confined in Uttarakhand govt building,"District magistrate of Uttarakhand\'s Champawat district, Ranbir Singh Chauhan, has ordered a probe into alleged ""confinement of women and girls"" during their menstrual period in a government building. ""I feel a building could have been converted into such a camp as there\'s no provision either by the state or central government to establish such camps,"" Chauhan said.",Trivedi Bhutnath,11:05 am,17-Jan-2019,Hindustan Times
https://inshorts.com/en/news/priyanka-chopra-to-perform-at-isha-ambanis-sangeet-reports-1542702919056,Priyanka Chopra to perform at Isha Ambani's sangeet: Reports,"Actress Priyanka Chopra will be performing at Isha Ambani and Anand Piramal's sangeet ceremony which will take place in December in Udaipur, as per reports. Several Bollywood celebrities are expected to perform at the two-day festivities which will be held on December 8 and 9, suggested reports. Isha was part of Priyanka's bachelorette in Amsterdam earlier this month. ",Deepshikha Yadav,02:05 pm,20-Nov-2018,India Today
https://inshorts.com/en/news/this-version-of-karthik-is-all-that-he-ever-wanted-to-be-ashwin-1547659859397,This version of Karthik is all that he ever wanted to be: Ashwin,"After Dinesh Karthik scored 25*(14) to help India beat Australia in second ODI, off-spinner Ravichandran Ashwin tweeted, ""This version of DK is all that he ever wanted to be, I\'m very happy for him."" ""Just going through [his] batting numbers...over...last 18 months...it\'s not surprising to see...he has become one of the best finishers in the world right now,"" he wrote.",Anmol Sharma,11:00 pm,16-Jan-2019,Twitter
https://inshorts.com/en/news/bjp-planning-to-end-practice-of-elections-kejriwal-1547533747368,BJP planning to end practice of elections: Kejriwal,"Delhi CM Arvind Kejriwal on Sunday said, ""BJP is...planning to amend the constitution and eventually abolish the practice of elections altogether."" He added that BJP\'s rule was similar to Adolf Hitler\'s rule in Germany. Kejriwal made the statement after Amit Shah had recently said that if BJP wins in 2019, they will stay in power for another 50 years.",Nikita Pradhan,11:59 am,15-Jan-2019,The New Indian Express
https://inshorts.com/en/news/india-1st-away-team-to-win-bilateral-series-in-all-formats-in-aus-1547808612043,India 1st away team to win bilateral series in all formats in Aus,"India defeated Australia in the third ODI today to clinch the three-match series 2-1. With this, India became the first visiting side to win a bilateral series (two or more matches) in all three formats in Australia. India registered their first Test series win in Australia earlier this month, while they won a T20I series on Australian soil in 2016. ",Anmol Sharma,04:20 pm,18-Jan-2019,ICC
https://inshorts.com/en/news/bangladesh-odi-captain-mortaza-to-contest-in-general-elections-1542046235584,Bangladesh ODI captain Mortaza to contest in general elections,"Bangladesh\'s ODI captain Mashrafe Mortaza will contest in the upcoming elections on a ticket from the ruling party, Awami League, as confirmed by PM Sheikh Hasina. The 35-year-old could reportedly contest from his hometown district of Narail in south-western Bangladesh. ""We expect him to keep the balance between his playing career and politics,"" a Bangladesh Cricket Board (BCB) official said.",Anmol Sharma,11:40 pm,12-Nov-2018,Hindustan Times
https://inshorts.com/en/news/1st-woman-to-enter-sabarimala-beaten-by-motherinlaw-hospitalised-1547533929782,1st woman to enter Sabarimala beaten by mother-in-law; hospitalised,"Kanaka Durga, one of the two women who entered Kerala\'s Sabarimala and became the first to defy the temple\'s ban on women of menstrual age, was beaten up by her mother-in-law upon her return home. She sustained head injury and is currently undergoing treatment at a hospital. ""Her mother-in-law...was not in favour of Kanaka Durga entering Sabarimala,"" her friend said.",Ankush Verma,12:02 pm,15-Jan-2019,The News Minute
https://inshorts.com/en/news/congress-politics-is-about-not-removing-poverty-javadekar-1547268485059,Congress politics is about not removing poverty: Javadekar,"Union Minister and BJP leader Prakash Javadekar on Friday said, ""Congress politics is about not removing poverty and not bringing poor people out of the clutches of poverty."" ""They do politics of entitlement, our\'s is politics of empowerment,"" he added. He further said that BJP didn\'t look at poor as vote banks, but as ""partners in progress of the country"".",Nikita Pradhan,10:18 am,12-Jan-2019,The New Indian Express
https://inshorts.com/en/news/saudi-girl-who-fled-abusive-family-granted-asylum-in-canada-1547225916050,Saudi girl who fled 'abusive' family granted asylum in Canada,"Rahaf Mohammed al-Qunun, the 18-year-old Saudi girl who fled alleged abuse by her family, has been granted asylum in Canada, the Thai immigration chief said. She will leave for Canada from Bangkok on Friday night. Rahaf had last week fled to Thailand saying she feared her family will kill her upon return to Saudi Arabia as she has renounced Islam.",Nandini Sinha,10:28 pm,11-Jan-2019,Reuters
https://inshorts.com/en/news/im-the-happiest-man-on-earth-right-now-20yrold-who-beat-federer-1547996603760,I'm the happiest man on Earth right now: 20-yr-old who beat Federer,"After knocking 20-time Grand Slam champion Roger Federer out of the Australian Open in the fourth round, 20-year-old Greek tennis player Stefanos Tsitsipas said that he is the ""happiest man on Earth right now"". ""I\'ve been idolising [Federer] since the age of six...it was a dream come true for me just being on Rod Laver Arena facing him,"" added Tsitsipas.",Anmol Sharma,08:33 pm,20-Jan-2019,YouTube
https://inshorts.com/en/news/argentine-submarine-found-a-year-after-disappearing-with-44-aboard-1542451489827,Argentine submarine found a year after disappearing with 44 aboard,An Argentine Navy submarine that went missing on November 15 last year with 44 crew members aboard has been located by a US company. The submarine ARA San Juan was found some 800 metres below the surface of the Atlantic Ocean. Argentina signed a contract with the company in August that guaranteed it $7.5 million if it found the submarine.,Ankush Verma,04:14 pm,17-Nov-2018,Reuters
https://inshorts.com/en/news/financial-stress-may-impact-flight-safety-pilots-guild-1548006790131,Financial stress may impact flight safety: Pilots' guild,"The Indian Pilots\' Guild has warned that financial stress could impact flight safety. The association further told aviation regulator DGCA that the management has continuously used the guise of financial losses to illegally change their service conditions and withhold payment of arrears. ""It is not humanly possible to keep all this stress away from the cockpit,"" the guild further said.",Shruti Maria Mahendar,11:23 pm,20-Jan-2019,Livemint
https://inshorts.com/en/news/dettol-makers-ceo-rakesh-kapoor-to-leave-after-32-yrs-at-the-firm-1547643441679,Dettol maker's CEO Rakesh Kapoor to leave after 32 yrs at the firm,"Reckitt Benckiser, the British maker of Dettol antiseptic and Durex condoms, announced that CEO Rakesh Kapoor would retire by the end of 2019 after 32 years with the company. India-born Kapoor took over as CEO in September 2011. Reckitt's shares almost doubled in value under the 60-year-old's leadership, giving the company a market value of £44.3 billion ($57.1 billion).",Krishna Veera Vanamali,06:27 pm,16-Jan-2019,Reuters
